,amplitude,c_-6,c_-5,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4,c_5,c_6
36,(0.05693295469353499+0j),(-0.03367342597763237+0.04897918247879991j),(-0.1460839414042433-0.07134600394890614j),(0.06911708207423704+0.106056435428422j),(-0.14281347880338588-0.07026915185162132j),(0.30670087019432307-0.1326948172855664j),(0.041497685900331274+0.07247708186645947j),(0.2475842783198164-0.08770752976199225j),(0.377840982406175-0.15556037063925512j),(-0.327191399174817+0.2547592717727127j),(-0.13180902647314513+0.18896143553934547j),(0.1099316982389658+0.02173767402226815j),(0.025812300823426747-0.13788045425082507j),(0.05734700244182921+0.14687723699299093j)
37,(0.8549627701989979+0j),(-0.06200503862478747+0.0876776272780807j),(-0.27634415050640115-0.11790429568879267j),(0.1080240733059927+0.02603021770895312j),(-0.08227220493246873-0.07046659106896558j),(0.1677066391393773+0.07919822489056344j),(0.03632555068326202+0.032775403149935274j),(0.39245421218628906-0.3223275075364188j),(0.27407460050636356-0.1809721246664258j),(-0.3094158041165434+0.1930527619217822j),(-0.1650717174812742+0.24474166476879938j),(-0.07066793228321165+0.01988874276944759j),(-0.023935097525509885-0.2433142083275409j),(0.1379399976646677+0.1339563474505933j)
38,(0.8549627701989979+0j),(-0.014228512359241606-0.012865196274049376j),(-0.296031265367879-0.11121026144723006j),(0.11084846525540673-0.056264723324146663j),(-0.007584523869114696-0.14007986912933768j),(0.22734670275842173+0.11441499067743653j),(-0.062348006863385104-0.10000170982886178j),(0.37731985233088866-0.2515944544548056j),(0.335154985278508-0.09302577927937256j),(-0.1512585211967679+0.3395289202025244j),(-0.10986811971725242+0.08025706513227066j),(-0.08682004900972681+0.10725826917763362j),(-0.011276359839637706-0.24350106730796278j),(-0.012839963486659882+0.05446141014476285j)
39,(0.2681778120763495+0j),(0.06010655763074937-0.06650757514259484j),(-0.1334171800289974-0.11898680182813672j),(0.03859699047036469-0.18330373170600445j),(0.11508165991644095-0.12652473354698518j),(0.09780470499044068+0.05708767325312567j),(0.045964972325757344-0.027050916549590825j),(0.5129812042558721-0.11588274463371173j),(0.19497101980850182-0.26322276197381j),(-0.1762168802792624+0.3394784134175721j),(0.03796015811987575+0.09255822111626427j),(-0.09935024519997021+0.06695347384431835j),(0.024253223634495544-0.08292956641782562j),(0.0796879608890439+0.0262472092714075j)
40,(0.17835380112274368+0j),(0.03193938326625471-0.0672004699176135j),(-0.07798553837477654-0.08532464131553336j),(0.029018559436051278-0.13058560645346529j),(0.11090935034216547-0.134669917630484j),(0.09033407778147062+0.025267710534112454j),(-0.12648273598238627+0.18967644366484349j),(0.5102113660032827-0.032888377345786174j),(0.2029914340341573-0.49287493109985325j),(-0.06806478729593418+0.28620310519961406j),(0.007332143387850917+0.01678208099143832j),(-0.08053215064703476+0.17754233779829998j),(-0.10114502380918386-0.21704350006888848j),(0.07076198210183005+0.06839667089274766j)
41,(0.6226551215584103+0j),(0.04456669560782975+0.0011818251480763889j),(-0.07275632909045777-0.027123090923017817j),(0.008875955602233167-0.23024729606965127j),(0.13777932933942655-0.005621106526790895j),(0.08605108058899676-0.024808866392040954j),(-0.1100799273254107+0.19989557236992134j),(0.47386558009079977+0.07174974625342946j),(0.17115930015555195-0.4637534503213764j),(-0.021992483475258555+0.32129460742226945j),(0.004101467999035869+0.0025814516833253184j),(-0.19377508223048726+0.012766677876203128j),(-0.10270124446298498-0.20469336073154212j),(0.07810676263085195+0.03721123281939413j)
42,(0.3572481990105043+0j),(0.1469542152122027-0.0844723971838182j),(-0.058959807991122264-0.03189242629034418j),(-0.006473224378535633-0.16988912011833332j),(0.05797931530278803-0.15399898961712205j),(0.013156255288519223+0.06439555998212092j),(-0.21304584973987703+0.24975878376261812j),(0.6306075551146241+0.23407439324520324j),(0.22635197703709806-0.4786901949399829j),(0.009353000611679856+0.36123143480082964j),(-0.0936406599234084+0.010127974664819024j),(-0.1201726076566143-0.08636007752592417j),(-0.04078797666617544-0.1348883244862564j),(0.038272680062718736+0.05453683421499173j)
43,(0.6008245285206292+0j),(0.14321775470549813+0.055922565364557766j),(-0.004334941821709952-0.0057216851557811595j),(-0.04218823566968522-0.23780414792372087j),(0.05324404242992352-0.12851656466548994j),(0.029213774204716172+0.14045017488145786j),(0.08161863252652254+0.13570846101877743j),(0.5471551531301111+0.29985756924456586j),(0.25929948199333996-0.3624721618978549j),(0.03451349972508874+0.33644401859008044j),(-0.08640226355277238-0.03423128625522018j),(0.0268301679991213-0.0962801467448198j),(-0.058004450213044956-0.03884871233404685j),(-0.039867491799878134-0.09641064346074203j)
44,(-0.16893835692169484+0j),(-0.04245347401804919+0.025543185330463406j),(-0.04824348869161585+0.061357496634303677j),(0.010243736124475591-0.10742649583889517j),(0.1147021201817604-0.2199845419038795j),(0.15448701981824473+0.20517525653762964j),(-0.03288090163448598-0.05002142272913297j),(0.5174075015013972+0.19941790615490027j),(0.21519478018683258-0.5827329427348275j),(0.07503654229257953+0.11376999916623887j),(-0.200397762928553+0.15814663527058093j),(0.0025442093067698096-0.11096530843433451j),(-0.02015391857838509+0.03567510807445755j),(0.10336607977795118+0.049053872325746976j)
45,(0.05993511956098078+0j),(-0.06059222972583719-0.030527531546070658j),(0.09212370702310275-0.01985284976578646j),(-0.162480955189989-0.039284356934547945j),(0.0527016031814371-0.1314948094810658j),(0.1988255065500605+0.1734315090645746j),(-0.051393230393243436-0.020693471709727653j),(0.47631862434482863+0.11794107413942514j),(0.27850237662054333-0.6161773121419519j),(0.07897103622530208+0.1794024588448242j),(-0.35148391680737384+0.15623749645394958j),(0.028370784449827286-0.14073626654465718j),(0.04079231179361673+0.007669450003016526j),(0.11493582912999356+0.008193910612102409j)
