,amplitude,c_-4,c_-3,c_-2,c_-1,c_0,c_1,c_2,c_3,c_4
48,(0.1296918104094129+0j),(0.010741114933462095+0.04838284368915965j),(0.041236607888012033+0.019852754849839185j),(-0.044779397918126074+0.19224708196187704j),(-0.013817250470126769+0.11223934246032867j),(-0.4671414402246104-0.5714285804337027j),(-0.3688694488375299+0.1843066391275466j),(-0.2786265357361778+0.11224915365852912j),(0.04808984346063797-0.09739083621971771j),(0.11088041552466288+0.008946218136400483j)
49,(-0.5216855063209092+0j),(0.023344092804157224-0.13675193430767651j),(-0.2029049110894293+0.058580210462864594j),(0.30023335010844826+0.1805170081339736j),(-0.1400221605907061+0.011140837855918247j),(-0.6022828634486387-0.49923852668877655j),(-0.12502140226793687+0.028215020894462026j),(0.2460434575849172+0.058486242642908776j),(-0.0110736276514724-0.061311911948156314j),(-0.07287134308326715+0.05079652582136986j)
50,(0.09940891656077398+0j),(-0.11454728249367203+0.004734574401400134j),(-0.0648588664183098-0.03230862501974168j),(-0.0912107070156069-0.08379488502659367j),(0.33033227924744196+0.04472062359451207j),(-0.4340270620773737-0.5937639991282413j),(-0.0045526972766122865-0.15586838815717544j),(0.10673264079907942-0.08364271380883594j),(0.05256493196700027+0.21658719141008473j),(0.01379828940578274+0.015641376131508403j)
51,(-0.07812871933882523+0j),(-0.07365876887976813-0.1464552731692591j),(0.13441615580188684-0.012268394716772936j),(0.19508808040721623-0.09929918157224117j),(-0.015288180186444539+0.2970321962517281j),(0.02917868307903801-0.8521682476599226j),(-0.3681148971950112-0.24127454170888826j),(0.11473796342527774-0.025195447761205105j),(0.10545897901358506+0.1395234608221611j),(-0.14025949006156996+0.08935519989072903j)
52,(-0.2831250880688762+0j),(0.09870408861860018-0.059641747104934216j),(-0.29074075188199444-0.0768981816505883j),(-0.06151401867574657+0.10611963722274131j),(0.08968708441432095-0.16408983369947902j),(-0.06628976216337235-0.16989346344870548j),(-0.11110513467680613-0.17191938601255205j),(-0.25745163082135103+0.05515947810781664j),(0.0061211647961936025+0.07440433506124607j),(0.02659534121070986-0.0556896634396146j)
53,(-0.32004509989971214+0j),(0.0625176119939195-0.010637831867114672j),(-0.023305316985753645+0.029116020669037786j),(-0.13684902062037244+0.1840070455073544j),(-0.0959691055439128+0.10741257884921226j),(0.11156318145548252-0.001471054478047018j),(0.3090953846903725-0.35811850278609103j),(0.10662565951201913+0.15416350034913273j),(-0.08819267794620092-0.1569541216423343j),(-0.10406283393779421-0.012186106757045817j)
54,(-0.13575114291276602+0j),(0.03205002516816487-0.04989759420198821j),(0.21714784365300877-0.021205531799257004j),(0.11109454146326869+0.21722658312128248j),(0.08821341760532249-0.33433581180815486j),(-0.7345839420990385-0.02503293750739244j),(0.21396630945207085-0.22124594355050026j),(0.21676875384225636+0.19408667071526564j),(0.035192022463133986+0.0192463158212675j),(0.11048223789640062-0.17879350039554687j)
55,(0.05336340781094295+0j),(-0.036357712529518735+0.07090851064103132j),(0.04098005046239463+0.0717489367444407j),(-0.014198526532631813-0.07442615414498341j),(-0.21511317683588382-0.3569922445238457j),(-0.45110654930705296-0.022200853535129676j),(0.03684804560902102-0.2954333956352299j),(-0.030220609826943547+0.08935069655216749j),(0.01090763499711243+0.01833943979171315j),(0.042782247628362274-0.007873444201997742j)
56,(0.5185789277999024+0j),(-0.00030724389985286563+0.0494728629631424j),(0.030358693320896732-0.022761590271909646j),(0.0387936487988737+0.1021035837792876j),(0.2424229442180824+0.1205213394994582j),(0.027389147453250245-0.4753638067506903j),(-0.0917471675367877+0.15409376354442922j),(0.05341617873807205+0.2690526930465174j),(-0.09073220937887072+0.05907874413776566j),(-0.056254783385662276+0.04108735014437684j)
57,(0.1100695290727194+0j),(-0.02601570138751732+0.18112473652967578j),(-0.013653175515929242+0.009652499387405207j),(-0.1247489768514107+0.14697924443234722j),(0.13590415192807492-0.331054129343964j),(0.1474487398657126-1.2098684273813969j),(-0.09574538172585942+0.17953147398488523j),(0.07823839433436922-0.11606143552109345j),(0.018934589970402295+0.04964982317651865j),(0.02702213581112838+0.032919354874757396j)
